2026-06-30 23:35:38,237 INFO === TLA -> C:\Users\basti\Documents\Mulligan_Coach\data\processed\choice_training\TLA\PremierDraft ===
2026-06-30 23:35:38,238 WARNING materialize_choice_feature_matrix(TLA): cached_features_dir=None; every kept-hand row will be re-simulated (slow path)
2026-06-30 23:35:38,277 INFO materialize_choice_feature_matrix(TLA): 342 shrunk WRs, 342 z-score rows
2026-06-30 23:35:56,255 INFO _classify_and_iter_rows: cache_hits=0, sim_required=520576
2026-06-30 23:43:40,260 INFO materialize_choice_feature_matrix(TLA): wrote chunk 0 (cumulative=5000, via_cache=0, via_sim=5000)
2026-06-30 23:51:08,449 INFO materialize_choice_feature_matrix(TLA): wrote chunk 1 (cumulative=10000, via_cache=0, via_sim=10000)
2026-06-30 23:58:40,303 INFO materialize_choice_feature_matrix(TLA): wrote chunk 2 (cumulative=15000, via_cache=0, via_sim=15000)
2026-07-01 00:06:14,734 INFO materialize_choice_feature_matrix(TLA): wrote chunk 3 (cumulative=20000, via_cache=0, via_sim=20000)
2026-07-01 00:13:59,940 INFO materialize_choice_feature_matrix(TLA): wrote chunk 4 (cumulative=25000, via_cache=0, via_sim=25000)
2026-07-01 00:21:42,855 INFO materialize_choice_feature_matrix(TLA): wrote chunk 5 (cumulative=30000, via_cache=0, via_sim=30000)
2026-07-01 00:29:50,337 INFO materialize_choice_feature_matrix(TLA): wrote chunk 6 (cumulative=35000, via_cache=0, via_sim=35000)
2026-07-01 00:37:29,979 INFO materialize_choice_feature_matrix(TLA): wrote chunk 7 (cumulative=40000, via_cache=0, via_sim=40000)
2026-07-01 00:45:22,420 INFO materialize_choice_feature_matrix(TLA): wrote chunk 8 (cumulative=45000, via_cache=0, via_sim=45000)
2026-07-01 00:53:13,215 INFO materialize_choice_feature_matrix(TLA): wrote chunk 9 (cumulative=50000, via_cache=0, via_sim=50000)
2026-07-01 01:00:58,918 INFO materialize_choice_feature_matrix(TLA): wrote chunk 10 (cumulative=55000, via_cache=0, via_sim=55000)
2026-07-01 01:08:46,112 INFO materialize_choice_feature_matrix(TLA): wrote chunk 11 (cumulative=60000, via_cache=0, via_sim=60000)
2026-07-01 01:16:42,218 INFO materialize_choice_feature_matrix(TLA): wrote chunk 12 (cumulative=65000, via_cache=0, via_sim=65000)
